Speaker;Party;Country;Quote;date;Subject;Author;Questions and Answers
Catherine Stihler;PES;UK;voted favour action programme custom taxation eu 20142020 wish improve tax capability tax authority fighting tax evasion tax fraud aggressive tax avoidance;21/11/2013;;;
Kay Swinburne;ECR;UK;voted support fiscalis programme aim improve cooperation member state tax authority order ensure better application tax law fight tax fraud evasion;21/11/2013;;;
Marc Tarabella;PES;BE;writing support idea continuing new union programming period implementation previous fiscalis 2013 programme fiscalis 2013 programme favourable stakeholder including national tax official midterm review 2010 national authority requested continued 2013 programme real added european value answer european parliament closer cooperation coordination national tax authority fight tax evasion tax fraud double nontaxation reduction administrative burden obstacle functioning single market dual taxation addition aim encourage innovation technical progress tax administration member state contribute greater productivity national authority;21/11/2013;;;
Nuno Teixeira;EPP;PT;writing fiscalis 2020 programme integrated multiannual financial framework 20142020 encourages cooperation national tax authority order ensure effective exchange information programme facilitate network link joint action training tax personnel finance computer system main objective fiscalis 2020 protect financial interest eu member state particular emphasis combating fraud reducing administrative burden cooperation country reason voted favour adoption report;21/11/2013;;;
SilviaAdriana Ticau;PES;RO;writing voted favour resolution amended proposal regulation establishing action programme taxation european union period 20142020 fiscalis 2020 repealing decision 14822007ec actively consolidate functioning internal market tax system contributing gradual elimination barrier distortion internal market operational objective priority programme implementation improvement operation support european information system field taxation support administrative cooperation activity financial package implementation programme set eur 223366000 current price financial support union activity referred article 7 shall agreed follows grant public procurement contract reimbursement cost incurred external expert mentioned article 4 country participating programme member state candidate country potential candidate partner country framework european neighbourhood policy;21/11/2013;;;
Angelika Werthmann;ALDE;AT;writing present report set action programme taxable person european union period 20142020 socalled fiscalis 2020 programme extremely positive past fiscalis 2013 contribute inter alia fight tax evasion tax fraud welcomed;21/11/2013;;;
Zbigniew Ziobro;EFD;PL;writing report action programme tax accompanied coherent eu tax policy taking account important problem tax evasion aggressive avoidance payment tax use vat tax area need change existing state affair aid provide programme increase effectiveness tax authority contribute error writing increased financial protection cooperation member state eu believe common tax policy possible improve financial interest country increase efficiency tax security competitiveness key issue combat fraud contributing financial loss country current economic situation increased control transparency strengthening internal market protecting financial interest;21/11/2013;;;
Ines Cristina Zuber;GUE/NGL;PT;writing objective proposal establish single action programme taxation eu cooperation tax authority strengthen internal market support fight tax fraud tax evasion aggressive tax planning proposal critical opposition mechanism provide tax fraud tax evasion free movement capital single market present concrete measure end fiscal paradise refer taxation financial benefit large economic group tax capital gain flagship strengthening functioning internal market distorting reality try exaggerate real effect single market cooperation field taxation important necessary ignore fact fiscal policy fundamental instrument economic social policy insufficient strengthening information system mechanism exchange personal information training aim subscribing national taxation authority levelbased harmonisation effective fight fraud tax evasion voted report;21/11/2013;;;
Luis Paulo Alves;PES;PT;writing approve report starting expressing great satisfaction commission taken account parliament request share previous proposal fiscus programme alfandenga fiskalis programme reason greater visibility legal clarity general specific objective defined operational objective article regulation view dynamic new custom challenge need protect citizen risk security arising international trade good greater emphasis placed harmonising standardising custom control procedure combating fraud addition commission proposal make reference indicator important establish development process indicator order monitor ass value impact measure taken programme order ensure necessary degree flexibility process appropriate confer power commission carry activity annual work programme;21/11/2013;;;
Elena Basescu;EPP;RO;writing voted favour report cooperation custom field essential enhancing security european union border exchange good practice competent authority member state lead effective fight fraud tax evasion period require technical capacitybuilding including support participating country procurement maintenance equipment human skill development prevention crossborder fraud hand increase income national budget ensure adequate protection european citizen;21/11/2013;;;
Adam Bielan;ECR;PL;writing programme action purpose achieves main objective strengthening internal market cooperation custom authority official member state establishs key element joint implementation union custom law number useful element proposed support financial economic interest community worth noting rule combating fraud protecting intellectual property right raising business competitiveness consumer protection computing pressure modern procedure custom control strategy indicate need adapt mechanism rapidly changing condition specific solution agreed facilitate legal exchange trade reduce cost carrying activity reducing administrative burden improve functioning custom authority time programme ensures certain level budgetary flexibility necessary;21/11/2013;;;
Mara Bizzotto;EFD;IT;writing supported vote favour baldassar report custom programme action modernising integrating custom 28 member state essential recovery eu economy;21/11/2013;;;
Vilija Blinkeviciute;PES;LT;write voted favour report expressed parliament position regulation defined 20142020 european union custom programme tour 2020 custom union shall examine financial interest union member state collecting duty warehouse tax requires good originating country allowed freely union comply union law necessary manage major trade flow 7 custom declaration handled second custom maintain balance improving business condition protecting citizen threat safety safety possible custom administration member state cooperates intensive operational manner authority trade country programme support union custom cooperation particular view creating network human resource capacitybuilding enhancing capacity proposed custom programme 2020 largely supported custom cooperation country concerned country;21/11/2013;;;
Philippe Boulland;EPP;FR;writing voted favour report colleague baldassarre custom programme action economic situation international traffic benefit opening trade link require greater stability better control given new custom challenge need protect citizen risk security security posed international trade good greater attention paid approach standardization custom control fraud control procedure better cooperation fight trafficking improve advantage highlight support gratitude custom authority perform remarkable work view mean enormous task day facetoface;21/11/2013;;;
Alain Cadec;EPP;FR;writing voted favour baldassar report guaranteeing better surveillance union custom border intensive operational cooperation custom authority different member state ofthe union aim protect european citizen control trade report ensures transparent financial flow union effective cooperation european custom support simplification reduction administrative procedure;21/11/2013;;;
Lara Comi;EPP;IT;writing voted favour resolution improve doha 2020 programme proposed commission strengthening custom cooperation custom union member state essential ensure development strong internal market promotes growth ensures mobility good service person capital;21/11/2013;;;
Rachida Dati;EPP;FR;writing text provides union programme action custom duty ambitious antifraud plan essential step ensuring european protection security programme action lead enhanced cooperation national international actor order achieve efficient crossborder cooperation;21/11/2013;;;
Christine De Veyrac;EPP;FR;writing voted favour text setting custom action programme european union period 20142020 support inter alia objective programme combat fraud improve competitiveness security security cooperation international organization country governmental authority economic operator organization consider important help custom protect citizen term safety safety product entering territory;21/11/2013;;;
Jill Evans;Greens/EFA;UK;improving custom authority area eu facilitate efficiency joint action programme cover best practice exchange training official better cooperation country international organisation important wale;21/11/2013;;;
Diogo Feio;EPP;PT;writing union custom policy seek establish different balance consumer protection european production opening new market increasing flow good search tariff disarmament need certain product division commission proposal specific guideline custom tax matter indicates camera convinced alleged advantage merger vote order action programme meet objective contribute union concrete secure step area special sensitivity;21/11/2013;;;
Joao Ferreira;GUE/NGL;PT;writing multiannual action programme custom sector 20142020 alfandenge 2020 ensure continuation previous programme facilitate strengthen cooperation custom authority eu addition programme aim contribute implementation eu2020 strategy strengthening functioning internal market programme requires harmonisation custom procedure control involved harmonising aspect related fraud electronic data processing technique use common level control method good world trade dominated large transnational company programme aim reflect serve interest transnational one reducing time movement good simplifying custom procedure simplifying context proper custom procedure concern combat facilitating hand community text speak ease simplification hand loss member state sovereignty custom policy raise concern responsible collection use revenue common price context harmonisation;21/11/2013;;;
Monika Flasikova Benova;PES;SK;writing commission issued proposal consultation fiscus programme year 2011 programme cover existing independent programme fiscalis 2013 programme deal issue taxation 2013 colnitvo programme set problem objective commission took note european parliament proposal divided programme part fiscalis 2020 colnitvo 2020 proposal commission 2020 colnitvo committee rural cooperation coal cooperation fiscalis 2013 programme strengthens internal market improving functioning tax system eu member state enhanced cooperation;21/11/2013;;;
Lorenzo Fontana;EFD;IT;writing report refers regulation establishing action programme european union custom union 20142020 aim programme european union strengthen custom cooperation custom union member state based art 33 tfe vote favour programme important 7580 fund allocated adapt information system european custom authority aim controlling contravention contraband good;21/11/2013;;;
Malgorzata Handzlik;EPP;PL;writing facilitating trade change ensuring security product traffic european union country effectiveness fight illegal trade linked operationality border service effectiveness action largely depends action programme approved today purpose provide eur 547 million order improve functioning custom union measure support cooperation custom service different member state key importance ensuring integrity eu external border programme enable joint activity training implementation computer system report adopted today overall detailed operational programme important harmonise standardise custom control procedure order combat fraud making easier respond dynamically changing challenge related new target worth noting priority programme facilitate compliance trade exchange law reduce compliance cost limit administrative burden protect unfair competition essential competitiveness european company consumer programme important internal market significantly strengthened effective effective custom union;21/11/2013;;;
Jim Higgins;EPP;IE;voted favour report custom 2020 proposal call action european union regard custom cooperation eu custom union percentile breakdown budget eur 548 080 000 negotiated agreed slight reformulations specific operational objective;21/11/2013;;;
Juozas Imbrasas;EFD;LT;write agree vote view problem need protect citizen security safety risk posed international trade good attention paid harmonising standardising custom control procedure combating fraud;21/11/2013;;;
Philippe Juvin;EPP;FR;writing supported report colleague raffaele baldassare article 33 treaty functioning eu allows union act field custom cooperation union custom union negotiation parliament proposed amendment specific operational objective verification achievement objective antifraud control budgetary allocation large parliament position adopted completing satisfactory version text report adopted 585 vote 18 4 abstention happy;21/11/2013;;;
Giovanni La Via;EPP;IT;writing voted favour mr report like point draft regulation fiscus programme proposed commission amended existing tax programme fiscalis 2013 custom dogan 2013 line commission simplification cost reduction objective met believe amendment proposed rapporteur operational objective verification budgetary allocation improved project submitted bythe commission;21/11/2013;;;
Agnes Le Brun;EPP;FR;writing custom action programme adopted european parliament help strengthen cooperation custom authority member state finalise custom union fact european custom authority manage constantly increasing trade volume ensure free movement good ensure safety security trade custom programme 2020 eur 548 million period 20142020 asked budget widely devoted strengthening fight fraud voted favour programme custom activity crossborder effective coordination exchange information various custom service european union;21/11/2013;;;
David Martin;PES;UK;voted favour report aim facilitate enhance cooperation custom authority eu need greater control fight new challenge constantly facing national custom authority working effectively proportionally key;21/11/2013;;;
JeanLuc Melenchon;GUE/NGL;FR;writing draft legislative resolution establishes custom action programme european union period 20142020 douay 2020 opportunity establish objective combating tax social environmental dumping public programme management maritime good union policy priority described custom policy relate facilitating global trade enhancing competitiveness concrete measure referred replace diversity mean human material generalised financial crisis member state strengthening electronic management replace human competence knowledge flow physical control capacity remain cornerstone custom work text promise liberal framework international trade opposed effective custom policy aimed solid protectionism need voted;21/11/2013;;;
Louis Michel;ALDE;BE;writing custom union foundation european economic construction new challenge face continue modernise order ensure genuine protection risk posed international trade good european citizen order combat fraud effectively ensure intellectual property improve competitiveness report stress importance strengthening cooperation largest number potential stakeholder participating country custom authority external expert international organisation european union authority olaf country global approach believe best solution bring;21/11/2013;;;
Alexander Mirsky;PES;LV;programme custom 2020 aim facilitating enhancing cooperation custom authority eu especially crossborder activity voted;21/11/2013;;;
Andreas Molzer;NI;AT;writing regard custom duty fight fraud play large role important matter citizen risk international trade regard system referred report used meaningfully view constantly growing data constantly expected brought certain flexibility needed obtain reserve changed political priority functioning custom protection indispensable effective protection eu external border way sufficient improvement potential taken account vote;21/11/2013;;;
Claudio Morganti;EFD;IT;writing stressed number circumstance importance custom european economy likely unknown fact product importing meet certain requirement especially true large port north europe described model absolute efficiency supposed efficiency fact slow control carried leaving free access good adjustment course dangerous harmful invasive counterfeit good low quality asian emerging country consequence phenomenon abstract unfortunately concrete unfair competition market brings business territory reduce production location address closure activity consequence economic employment entire territory new european custom programme allow greater harmonisation information system various member state hoping sole effectiveness control high uniform;21/11/2013;;;
Antigoni Papadopoulou;PES;CY;regulation custom 2020 programme contains budgetary framework eur 548 080 000 period 20142020 aim facilitating enhancing cooperation custom authority eu especially crossborder activity whilst strengthening link internal market eu custom given problem dynamic new challenge custom need protect citizen security safety risk posed international trade good additional emphasis given harmonisation standardisation procedure custom control fight fraud addition certain degree flexibility maintained order respond changed policy priority;21/11/2013;;;
Aldo Patriciello;EPP;IT;commission proposed regulation custom european union period 20142020 succeeding current regulation increased cooperation sector custom consistent europe 2020 strategy smart sustainable inclusive growth strengthening single market custom union voted favour proposal;21/11/2013;;;
Robert Rochefort;ALDE;FR;writing voted favour new danube programme budget large custom duty contribute collection tax revenue budget member state eu custom ensure balance facilitating trade controlling respect good originating country european legislation essential cornerstone free movement european territory half billion euro 20142020 strengthen cooperation harmonisation custom administration improving fight fraud priority national information system remain different time harmonise develop system common glad significant programme budget devoted objective human exchange good practice official continue benefit better expertise greater confidence member state essential proper functioning custom union;21/11/2013;;;
Tokia Saifi;EPP;FR;writing custom vital element international trade process contribute collection tax revenue budget member state eu supported eu citizen business blocking illegal unsafe import facilitating trade programme period 20142020 budget eur 5473 million shared cooperation networking eu custom authority joint action training envelope allocated purchase computer system specific national custom use different system incompatible;21/11/2013;;;
Catherine Stihler;PES;UK;voted favour action programme custom programme strengthen internal market efficient effective custom union;21/11/2013;;;
Kay Swinburne;ECR;UK;voted favour report hope strengthen cooperation member state authority custom union proposal outline number measure advance operation custom procedure custom authority;21/11/2013;;;
Marc Tarabella;PES;BE;writing following decision conference president 16 2012 confirming request committee internal market protection consumer commission economic monetary affair cut programme commission amended view order account parliament council position 29 august 2012 adopted amended proposal custom 2020 fiscalis 2020 commission proposal custom 2020 based article 33 treaty functioning european union eea treaty invite european community act field custom cooperation custom union union accordance proposal new multiannual financial framework amended 6 july 2012 regulation custom programme 2020 contains budgetary framework eur 548 080 000 current price period 20142020 pleased commission taken account parliament request reject previous proposal fiscus programme custom programme fiskalis programme;21/11/2013;;;
Nuno Teixeira;EPP;PT;writing copenhagen 2020 programme call action european union field custom cooperation custom union european space number amendment programme regulation proposed particular regard definition general specific operational objective programme requested greater emphasis placed harmonising standardising custom control procedure combating fraud opportunity share budget annual work programme order respond change political priority necessary ensure effective protection eu external border order need strengthen technical capacity ensure constant support various action custom authority;21/11/2013;;;
SilviaAdriana Ticau;PES;RO;writing voted proposal regulation establishing action programme custom territory european union 20142020 vam 2020 repealing decision 6242007ec custom authority confronted daily complex challenge effective cooperation custom authority union important regulation lay multiannual programme action 2020 view improving functioning custom union programme cover period 1 january 2014 31 december 2020 financial package implementation 20142020 programme set eur 522 943 000 annual appropriation authorised european parliament council multiannual financial framework overall objective programme support functioning modernisation custom union order consolidate internal market cooperation participating country custom authority operator specific objective support custom authority protecting financial economic interest union member state including fight fraud protection intellectual property right enhance security security protect citizen environment improve administrative capacity custom official strengthen competitiveness european company;21/11/2013;;;
Angelika Werthmann;ALDE;AT;writing hand appropriate way programme competence european level background possible saving present case successful wellfunctioning programme different objective field custom tax absolutely justification confusion parliament critical report agreement;21/11/2013;;;
Zbigniew Ziobro;EFD;PL;writing thank rapporteur report eu action programme 20142020 number trade exchange good flow creating new custom challenge order deal everyday conflict important issue ensure appropriate security continuation improvement custom programme ensure better international cooperation custom authority effective action custom union possible strengthen internal market increase protection citizen error writing competitiveness undertaking legal exchange trade excluding fraud key issue need modernise rule custom law union order improve information system ensuring protection financial economic interest member state;21/11/2013;;;
Ines Cristina Zuber;GUE/NGL;PT;writing multiannual action programme custom sector 20142020 alfandenge 2020 ensure continuation previous programme express objective facilitate strengthen cooperation custom authority union addition programme contribute implementation europe 2020 strategy smart sustainable inclusive growth strengthening functioning internal market programme requires harmonisation custom procedure control involves harmonising aspect related fraud electronic data processing technique involves use common level control method good world trade dominated large transnational company programme reflect serve interest transnational one reducing time movement good simplifying custom procedure simplifying facilitating hand community text speak ease simplification loss member state sovereignty custom policy raise concern responsible collection use revenue common price context harmonisation;21/11/2013;;;
Luis Paulo Alves;PES;PT;writing approves report bearing mind negotiation omnibus ii directive concluded deadline transposition place 30 june 2013 extended time date amended solvency ii directive shall applied transitional rule major adaptation provided omnibus ii directive order prevent happening ensure legal continuity current solvency provision solvency entry force solvency ii package proposed extend relevant transposition period provided directive 2009138ec time 31 january 2015 important supervisor insurance company time prepare implementation solvency ii package proposed extend date entry force solvency ii package 1 january 2016 way possible initiate approval procedure supervisor example regard internal model specific parameter company;21/11/2013;;;
Elena Basescu;EPP;RO;writing voted favour report term transposition implementation directive access activity carrying insurance reinsurance activity solvency ii amended order avoid situation prolonged legal uncertainty ensure legal continuity current provision solvency supervisory authority insurance reinsurance undertaking benefit period time preparation solvency ii package finally adoption directive accordance omnibus ii directive necessary ensure uniform application create appropriate framework field;21/11/2013;;;
Regina Bastos;EPP;PT;writing report european parliament adopts position commission regard solvency ii directive draft solvency ii aim review prudential insurance insurance european union greater supervision activity greater risk control prudentary measure standardization activity reporting system delay negotiation omnibus 2 legislation necessary improve transposition entry force directive respect member state contribute transposition law national legislation date originally planned 30 june 2012 expires 31 december 2014 addition application legislation shall effect 1 january 2016 date repealing solvency directive 1st january 2014 originally envisaged report question change content proposal directive approves date transposition member state voted favour report;21/11/2013;;;
Mara Bizzotto;EFD;IT;writing supported vote favour bowles report amending directive 2009138ec regard access exercise insurance reinsurance activity entry force 1 january 2016 way supervisory authority insurance reinsurance undertaking given time prepare implementation scheme ensuring certainty law;21/11/2013;;;
Vilija Blinkeviciute;PES;LT;write voted favour report parliament contributes revision eu directive commencement implementation insurance reinsurance activity mocumas ii modern riskbased european supervision insurance reinsurance undertaking established tax ii directive new rule important order ensure insurance sector safe reliable enable sustainable insurance product support real economy longterm investment greater stability abovementioned revision directive necessary account new insurance supervision particular establishment european insurance occupational pension authority 2011 treaty lisbon force;21/11/2013;;;
Philippe Boulland;EPP;FR;writing voted favour amending directive 2009138ec access exercise insurance reinsurance activity solvency ii regard date transposition entry force date certain directive repealed important technical change legislation cover insurance reinsurance activity;21/11/2013;;;
Maria Da Graca Carvalho;EPP;PT;writing report european parliament adopts position commission regard solvency ii directive draft solvency ii aim review prudential insurance insurance european union greater supervision activity greater risk control prudentary measure standardization activity reporting system delay negotiation omnibus 2 legislation necessary improve transposition entry force directive respect member state contribute transposition directive national legislation initial date 30 june 2012 31 december 2014 addition application legislation shall effect 1 january 2016 date repealing solvency directive 1st january 2014 originally envisaged report question change content proposal directive approves date transposition member state voted favour text;21/11/2013;;;
Lara Comi;EPP;IT;writing problem voting favour proposal mere technical precision remove entry force;21/11/2013;;;
Jill Evans;Greens/EFA;UK;amendment existing directive adapt new policy insurance reinsurance common people eu constituent wale want assured protected legislation matter voted favour reason;21/11/2013;;;
Diogo Feio;EPP;PT;writing negotiation omnibus ii directive continue place far directive affect content solvency ii directive european parliament seen obligation review date transposition solvance ii january 2016 recall solvency ii directive aim creation modern riskbased european policyholder necessary harmonise directive new rule lisbon treaty omnibus ii directive slowing implementation solvency ii directive;21/11/2013;;;
Joao Ferreira;GUE/NGL;PT;writing report proposes directive supplementing transposition implementation date directive 2009138ec granting sufficient time supervisory authority insurance reinsurance undertaking prepare implementation new supervision architecture insurance sector establishment european supervisory authority eiopa known new architecture diet supervision directive 2009138ec european parliament ofthe council lay riskbased regulation supervision eu insurance insurance undertaking directive importance insurance guarantee system sg reducing risk faced taker appropriate insurance beneficiary event failure insurance undertaking minimizing chance insurer enter bankruptcy disturbance resulting taking applicable beneficiary insurance report call addition transposition directive 2009138ec sloven ii repealing directive 1 january 2014 given content report clearly technically taking account critical position eiopa directive question reject;21/11/2013;;;
Monika Flasikova Benova;PES;SK;writing expected present case solvency guideline repealed january 2014 little effect entry force new solventnosj ii guideline date implementation member state set 30 june 2013 result tv quickfix guideline accepted 2012 end year clear possible approve agree european parliament council hand commission proposes quickfix ii directive strict exception avoids legislative vacuum result recent publication omnibus ii directive official journal europe;21/11/2013;;;
Ildiko GallPelcz;EPP;HU;writing believe report important supported fall scope original solvencia ii directive wish amend date transposition order allow member state make appropriate time transposition directive new date 2014 amending maintaining modern riskbased review european insurance undertaking 31 december;21/11/2013;;;
Juozas Imbrasas;EFD;LT;write agree proposal order avoid excessive obligation directive 2009138ec member state subsequently new supervisory provided second general proposal appropriate postpone date transposition national law start date application directive2009138ec providing sufficient time supervisory authority insurance reinsurance undertaking prepare application;21/11/2013;;;
Philippe Juvin;EPP;FR;writing supported report colleague sharon bowles report solvency ii directive modernising european control text proposes given current negotiation omnibus 2 amend date transposition implementation directive report affect content directive report adopted 589 vote 10 8 abstention happy;21/11/2013;;;
JeanLuc Melenchon;GUE/NGL;FR;writing solvency ii directive 2009 established monitoring european insurance reinsurance undertaking objective ensure stability insurance sector finance real economy report submitted purely procedural issue validate implementation omnibus ii directive added solvency ii directive account new supervisory architecture insurance establishment european supervisory authority european insurance occupational pension authority aeapp validation necessary application solvency ii 1 january 2014 order avoid legal void following late publication omnibus ii official journal european union getting away;21/11/2013;;;
Roberta Metsola;EPP;MT;report alter substance solvency ii impose additional obligation business support extending obligation member state transpose directive 30 june 2013 31 december 2014;21/11/2013;;;
Andreas Molzer;NI;AT;writing european parliament council european commission agree detail socalled ii directive shall specify important point solvency ii regulate insurance sector previous assessment method parameter technical restoration insurance shall based historical benefit phase financial market crisis volatility financial market adjustment new competence european insurance supervisory authority eiopa adjustment implement new legal standard implementation implementing provision voted favour proposal order adapt concrete cooperation insurance insurance industry new circumstance;21/11/2013;;;
Maria do Ceu Patrao Neves;EPP;PT;writing report european parliament adopts position commission regard solvency ii directive draft solvency ii aim review prudential insurance insurance european union greater supervision activity greater risk control prudentary measure standardization activity reporting system delay negotiation omnibus 2 legislation necessary improve transposition entry force directive respect member state contribute transposition directive national legislation initial date 30 june 2012 31 december 2014 addition application legislation shall effect 1 january 2016 date repealing solvency directive 1st january 2014 originally envisaged report question change content proposal directive approves date transposition member state circumstance indicated voted favour text;21/11/2013;;;
Aldo Patriciello;EPP;IT;urgency preceding vote expiry deadline justified decided vote proposal avoid potential legal vacuum;21/11/2013;;;
Kay Swinburne;ECR;UK;voted favour extending deadline application solvency ii rule insurance pending outcome negotiation omnibus 2 package adoption revision today mean new deadline implementation set 1 january 2016 year later originally intended;21/11/2013;;;
Marc Tarabella;PES;BE;writing voted favour proposal european parliament council directive amending directive 2009138ec access exercise insurance reinsurance activity solv ii regard transmission entry force date repealing certain directive com 2013 0680 c703152013 20130327 cod;21/11/2013;;;
Nuno Teixeira;EPP;PT;writing solvency ii project provides modern risk indicator monitoring prudential insurance insurance regime european union view delay negotiation act omnibus 2 following report proposes implementation legislation shall effect 1 january 2016 1st january 2014 originally envisaged voted favour adoption report;21/11/2013;;;
SilviaAdriana Ticau;PES;RO;writing voted proposed amendment directive 2009138ec access carrying insurance reinsurance activity solvency ii regard date transposition application directive time repealing certain directive directive 2009138ec provides modern based risk regulation supervision insurance reinsurance undertaking union essential ensure security stability insurance sector sustainable insurance product offered support real economy encouraging longterm investment additional stability order avoid imposing excessive regulatory obligation member state directive 2009138ec new supervisory archive provided proposed omnibus ii proposal date transposition date application directive shall extended supervisory authority insurance reinsurance undertaking sufficient period time prepare implementation new archive proposal set date 31 january 2015 transposition 1 january 2016 implementation directive proposal amends article 310 311 accordingly establishing new expiry date solvency package 1 january 2016;21/11/2013;;;
Angelika Werthmann;ALDE;AT;writing proposed amendment directive taking pursuit insurance reinsurance activity solvency ii public order clarify unsafe legal framework supervisory authority undertaking member state discrepancy voting deadline avoided solvency ii come effect vote omnibus ii extension application solvability ii 1 extended 1 january 2014 1 january 2016 viewed positive;21/11/2013;;;
Ines Cristina Zuber;GUE/NGL;PT;writing report proposes directive supplementing transposition implementation date directive 2009138ec granting sufficient time supervisory authority insurance reinsurance undertaking prepare implementation new supervision architecture insurance sector establishment european supervisory authority eiopa 19 january 2011 commission adopted proposal omnibus ii amend directive 2009138ec directive 2009138ec european parliament ofthe council lay riskbased regulation supervision insurance insurance undertaking union directive coverage insurance guarantee system sg reduction risk faced taker appropriate insurance beneficiary event failure insurance undertaking minimizing chance insurer enter bankruptcy disturbance resulting taking applicable policy beneficiary report call addition transposition directive 2009138ec sloven ii repealing directive 1 january 2014 view critical position eiopa directive question reject;21/11/2013;;;
Charles Tannock;ECR;UK;mr president 12 year doha trade talk marked repeated collapse negotiation allegation bad faith development agenda best current hope promoting multilateral free fair trade world reducing nontariff barrier placed path eu world successful trading bloc know abolition tariff quota increase prosperity know achieved extremely careful deliberation clearly targeted reform account need country simply richest reason fully endorse necessity integrating principle special differential treatment process increasing precision efficiency reiterating support arm initiative interest today work harder reform structure wto engagement european union make reality bring prosperity;21/11/2013;;;
Luis Paulo Alves;PES;PT;writing approve report starting emphasis developing country particular smes fully associated negotiation prepare possible result 9 ministerial conference order ensure consensus appropriateness way ask european union contribute finding satisfactory solution area concern smes particular implementation decision exemption custom duty quota market preferential rule origin reiterate imperative ensure principle special differentiated treatment integral stage negotiation reflecting different level economic development wto member believe order effective special differentiated treatment provision precise subject periodic review applied selectively state binding trade facilitation agreement provide different period progressive introduction accompanied linkage agreement funding capacity technical assistance developing country;21/11/2013;;;
Alain Cadec;EPP;FR;writing voted favour moreira zalba report 9th meeting doha cycle bali december launched 2001 doha conference cycle aim ensure economic development continent poverty reduction close bali conference european parliament adopted resolution integration developed country world economy;21/11/2013;;;
Lara Comi;EPP;IT;writing process liberalisation trade world trade organization historically main promoter reached dead end following successful settlement member state doha round negotiation 2001 view new wto ministerial conference held indonesia early december european union make voice strong adopt reform process enables organisation return effectively meet new challenge need international trade particular believe wto rule focused promoting internationalisation openness smes driving force economy country essential growth trade development reason thought appropriate vote favour motion resolution;21/11/2013;;;
Rachida Dati;EPP;FR;writing favour text focus development nontariff barrier trade facilitation support idea strengthening democratic legitimacy wto work example creating permanent delegation european parliament wto;21/11/2013;;;
Jill Evans;Greens/EFA;UK;fellow meps greenefa group voted report number reason main reason believe go far term limiting corporate power closing balance rich poor worked ngo church wale year development agenda working better trade rule benefit poorest community disappointing opportunity make difference missed;21/11/2013;;;
Diogo Feio;EPP;PT;writing european union freedom trade despite present crisis example advantage trade liberalization bring business population hope tendency remove unnecessary barrier trade 9th ministerial conference contrary commitment multilateralism trade liberalization strengthened translates increase trade flow worldwide like point light liberalisation awareness human being producing good service individual producer neglect right contribute distorting competitiveness business dignity person value prevail economic financial reason welcome rapporteur excellent work;21/11/2013;;;
Joao Ferreira;GUE/NGL;PT;writing failure wto negotiation various initiative effort new impetus conclusion doha development agenda add focused 9 wto ministerial conference majority parliament trying sell idea add extremely important meet need interest developing country particular developed country damaged new failure putting content doha agenda perspective usual mirific vision free trade constantly promoted arousians apparently feeling ashamed reality demean roundly repeatedly add seek advance liberalisation trade good service stressing free trade obstacle development large multinationals multilateral trade liberalisation agreement guarantee trade based shared fair open nondiscriminatory standard wto service interest major multinationals ensuring expansion market strengthening profit access raw material eliminating obstacle greater exploitation capitalist peripheral;21/11/2013;;;
Monika Flasikova Benova;PES;SK;writing resolution represents european parliament contribution legislative conference minister council business organisation resolution highlight european parliament commitment multilateral trading european parliament welcome ambitious balanced outcome 1990s conference minister important issue problem starting world trade economic problem development issue observer fact possible achieve reasonable progress filling original stage dauhy music programme multistakeholder trading need detailed main reform time european parliament fully informed need strengthen parliamentary dimension council trade organisation way create permanent suspension parliament organisation;21/11/2013;;;
Agnes Le Brun;EPP;FR;writing resolution adopted 9th ministerial conference world trade organization wto indonesia european parliament addressing ongoing negotiation trade facilitation food security set measure developed country stressed need facilitate trade developing country reducing bureaucracy strengthening legal security speeding duration custom procedure asked liberalisation service european union largest exporter global level including field telecommunication financial service electronic commerce called structural reform wto order ensure fair nondiscriminatory trading finally asked better information parliament status negotiation wto order strengthen democratic control voted favour resolution proposes measure improve position european union global trade particular calling greater attention interest smes benefit access global market multinationals;21/11/2013;;;
Boguslaw Liberadzki;PES;PL;writing resolution voted ep contribution wto ministerial conference place indonesia 3 6 december 2013 resolution highlight involvement ep multilateral trading support ambitious sustainable result 9 ministerial conference 9mc ep expects result field trade agriculture development trade facilitation agreement binding linked support developing country developing economy far agriculture concerned european parliament expects eu address issue food security developing country development centre process developing country gain free free access free market european parliament informed actively involved preparation 9mc requires strengthening role ep calling permanent eu representation wto;21/11/2013;;;
Roberta Metsola;EPP;MT;faster flow good border benefit including developing country agreement facilitation reduce red tape enhance legal certainty reduce time good kept transit length custom procedure text call commission council ensure ep promptly updated needed consulted bali wto ministerial conference call commission case wto member increasing importance parliamentary dimension wto democratic legitimacy wto enhanced strengthening parliamentary dimension ensuring better access parliamentarian trade talk wto decisionmaking;21/11/2013;;;
JeanLuc Melenchon;GUE/NGL;FR;writing doha round 2001 aim correct existing trade imbalance putting need interest developing country centre negotiation particular developed country ldcs resolution proposing taken account initial objective contrary contribute opening trade including starting liberalisation modernising rule discipline area wto involved pillage country concerned voted;21/11/2013;;;
