Speaker;Party;Country;Quote;date;Subject;Author;Questions and Answers
Laima Liucija Andrikiene;EPP;LT;write voted favour draft resolution operational strategic cooperation agreement georgia europol agreement provides exchange information including personal data specific knowledge common position report strategic analysis result crime prevention method assistance carrying specific criminal investigation europol joint supervisory body composed national data protection authority competent field legal protection regard data level georgia expressed support conclusion cooperation agreement europol clear operational need cooperate closely georgia according europol representative importance georgia combating terrorism organised crime growing country socalled foreign combatant transit country important partner fight organized group organised georgia voted fact conclusion strategic operational cooperation agreement georgia help combat terrorism organised crime international strengthen fight;14/12/2016;;;
Nikos Androulakes;PES;EL;writing voted favour report council draft implementing decision approving conclusion european police service europol business strategic cooperation agreement agriculture europe important development security european citizen;14/12/2016;;;
MarieChristine Arnautu;ENF;FR;writing order improve effectiveness preventing combating form crime europol initiated conclusion agreement operational strategic cooperation georgia term cooperation governed operational strategic agreement provide exchange information include expertise general account strategic analysis result information criminal investigation procedure information method crime prevention participation training activity provision advice support special criminal investigation addition agreement contains provision relating exchange personal data principle colleague national oppose exchange personal data french citizen opposed operational agreement europol want conclude country opposed agreement;14/12/2016;;;
Jonathan Arnott;EFDD;UK;europol influence member state eu report aim promote europol build tie country erode uk national sovereignty voted;14/12/2016;;;
Jean Arthuis;ALDE;FR;writing expressed favour report believe today europol need strengthen operational cooperation georgia country today play important role fight terrorism organized crime country transit foreign combatant conclusion agreement facilitate intensify fight river;14/12/2016;;;
Zigmantas Balcytis;PES;LT;write voted favour report council implementing decision supporting conclusion operational strategic cooperation agreement georgia europol european police office europol europol say importance georgia combating terrorism organised crime growing country socalled foreign combatant transit important partner fight organised group organised georgia view agree strategic operational cooperation agreement georgia concluded help combat terrorism organised crime international strengthen fight;14/12/2016;;;
Nicolas Bay;ENF;FR;writing order improve effectiveness preventing combating form crime europol initiated conclusion agreement operational strategic cooperation georgia cooperation include inter alia exchange information including personal information opposed sharing information french citizen way like avoid similar operational agreement europol want conclude country;14/12/2016;;;
Hugues Bayet;PES;BE;writing voted favour report strengthen exchange information georgia europol according europol georgia play important role fight terrorism organised crime transit country foreign combatant necessary strengthen operational cooperation europol georgia information exchanged include personal data adequate control expertise general account strategic analysis result information criminal investigation procedure information crime prevention method;14/12/2016;;;
Brando Benifei;PES;IT;writing georgia represents key partner european union eastern partnership moraes report supported today endorses agreement strategic cooperation europol georgia strengthening link country strengthening common security combating organised crime approved text particular allow wider exchange information specialist knowledge report result strategic analysis information criminal investigation training activity cooperation issue fight terrorism organised crime strengthened taking account particular fact soviet republic today transit country socalled foreign fighter fundamental partner struggle organised criminal group agreement provide exchange personal data;14/12/2016;;;
Xabier Benito Ziluaga;GUE/NGL;ES;writing proposal refers adoption agreement georgia europol operational strategic cooperation result november meeting proposal similar agreement ukraine include chapter exchange personal data georgia addition geopolitical game union eeas uu russia cease country meet standard required union human right legislation criterion group take account adopts cooperation agreement hand european parliament voted favour new regulation europol enter force year cooperation agreement established transparent procedure current ground preconsenting agreement country sufficient democratic legal guarantee voted;14/12/2016;;;
Izaskun Bilbao Barandica;ALDE;ES;writing like thank rapporteur work agreement georgia europol operational strategic cooperation abstained report group agreement country europol new regulation europol negotiated make greater sense wait enter revision;14/12/2016;;;
Dominique Bilde;ENF;FR;writing voted report agreement operational strategic cooperation georgia europol main point opposition concern inter alia exchange personal data strongly opposed threatens freedom citizen including right privacy believe measure useless fight crime terrorism lead suspecting entire population crime crime author general known service point opposed information exchange including criminal investigation procedure method crime prevention participation training activity provision advice support special criminal investigation;14/12/2016;;;
Mara Bizzotto;ENF;IT;writing supported vote proposal agreement strategic cooperation georgia europol exchange operational information excluding sharing personal data;14/12/2016;;;
Jose Blanco Lopez;PES;ES;writing voted favour legislative resolution draft council implementing decision approving conclusion european police office europol agreement georgia europol operational strategic cooperation according europol clear operational need deepen operational cooperation georgia role georgia combating terrorism organized crime increasingly important particular country transit country foreign combatant key partner fight organized criminal group agreement provides exchange information including personal data exchanged information include expertise general situation report result strategic analysis including;14/12/2016;;;
Vilija Blinkeviciute;PES;LT;write voted favour report operational strategic cooperation agreement georgia europol pursuant current council decision establishing europol international cooperation country international organisation shall approved council consulting european parliament agreement relate exchange operational strategic technical confidential information operational cooperation agreement includes exchange personal data proposal concern proposal approval europol georgia operational strategic cooperation agreement provides exchange information including personal data information related specific knowledge common situation report strategic analysis result criminal investigation procedure crime prevention method assistance carrying specific criminal investigation;14/12/2016;;;
Andrea Bocskor;EPP;HU;writing order respond international organised crime extremely important thirdcountry partner obtain information criminal organisation according european police office europol georgia played increasingly important role fight organized crime specific drugrelated economical human trafficking trafficking crime committed criminal group organised mobile trafficking agreement operational strategic cooperation europol georgia enables necessary information opportunity organise crime prevention activity training europol clearly need cooperate georgia supported initiative vote;14/12/2016;;;
Biljana Borzan;PES;HR;pressed support report operational strategic cooperation agreement georgia europol;14/12/2016;;;
MarieChristine Boutonnet;ENF;FR;writing accept exchange personal data french citizen oppose operational agreement europol intends conclude country voted text;14/12/2016;;;
Lynn Boylan and Liadh Ni Riada;GUE/NGL;IE;voted report concern human right georgia opposed arrangement europol country human right standard country question poor;14/12/2016;;;
Renata Briano;PES;IT;writing agreement operational strategic cooperation georgia europol act welcome positively useful strengthening cooperation difficult time history republic georgia framework best strategic operational cooperation eu member state associated country term effective combating terrorism mafia smuggling international crime;14/12/2016;;;
Steeve Briois;ENF;FR;writing europol initiated procedure conclude agreement operational strategic cooperation georgia order increase effectiveness preventing combating crime term cooperation provide exchange information including general account strategic analysis result information criminal investigation procedure method crime prevention agreement includes personal data exchange strongly opposed believe improving effectiveness fight organised crime depends member state ability regain territorial sovereignty government eradicate criminal terrorist network use national border possibility spread voted text;14/12/2016;;;
Daniel Buda;EPP;RO;writing agreement operational strategic cooperation georgia europol designed establish cooperation relationship exchange information including personal data information field expertise report general situation result strategic analysis information criminal investigation procedure data method prevention crime support certain criminal investigation given importance georgia fight terrorism organised crime given transit country foreign combatant essential partner war organized crime group georgia need deepen operational cooperation georgia expressed support strategic operational cooperation agreement georgia europol believe essential instrument fight terrorism organised crime;14/12/2016;;;
Nicola Caputo;PES;IT;writing today voted favour report approve conclusion european police office europol agreement operational strategic cooperation georgia europol georgia increasingly important fight terrorism organised crime specifically transit country socalled foreign combatant fundamental partner combating organized georgian criminal group conclusion strategic operational cooperation agreement georgia help strengthen fight terrorism organised crime term cooperation provide exchange information include expertise general report result strategic analysis information criminal investigation procedure data method crime prevention support individual criminal investigation;14/12/2016;;;
Matt Carthy;GUE/NGL;IE;voted report conclusion international agreement exchange technical classified information georgia sinn fein reject cooperation agreement europol certain country poor human right record matter judicial law enforcement cooperation advocated cooperation happen high human right standard place fair trial right defence right judicial oversight case georgia addition european parliament recently voted new europol regulation ensure agreement concluded transparent way fact council chosen rush agreement old regime raise question reason voted;14/12/2016;;;
James Carver;EFDD;UK;ukip meps voted legislative report ukip support europol institution support eu concluding agreement country;14/12/2016;;;
David Casa;EPP;MT;voted favour report clear operational need europol deepen operational cooperation georgia according europol georgia increasingly relevant fight terrorism organised crime specifically transit country socalled foreign fighter vital partner fight georgian organised criminal group perspective conclusion strategic operational cooperation agreement georgia aid reinforce fight terrorism organised crime international definition;14/12/2016;;;
Fabio Massimo Castaldo;EFDD;IT;writing new regulation agency conclusion international strategic cooperation agreement europol country enter force 2017 provides new procedure parliament role strengthened fact new procedure provides parliament express opinion simple consensus case moment fully convinced importance parliament involvement decided support;14/12/2016;;;
Caterina Chinnici;PES;IT;writing europol played key role countering crossborder crime terrorist organisation necessary facilitate strategic agreement contributes increasing research efficiency operational capacity believe strategic cooperation georgia essential resource meeting common security challenge europe including terrorism sharing information creating contact point training programme reason believe voted favour report seen european parliament incisive role negotiating agreement;14/12/2016;;;
Leuteres Khristophorou;EPP;;writing support report clear business need europe enhance business cooperation agriculture;14/12/2016;;;
Kostas Khrusogonos;GUE/NGL;EL;writing agreed report adoption europol business strategic cooperation agreement georgia despite obvious need greater cooperation member state wider european union view introducing security condition believe focus particularly protection personal data respect personal freedom case report decided vote;14/12/2016;;;
Alberto Cirio;EPP;IT;writing past 26 january existence isi training field confirmed panksi valley 160 km tbilisi area considered unstable area centre recruitment combatant daesh fact soviet union dissolved panksi particular indominability transit zone weapon group rebel belonging radical vision islam play share operational strategic cooperation agreement europol georgia long provides exchange information knowhow best practice adopted establish effective strategy fight terrorism organised crime fact intended share strategic analysis information related criminal investigation procedure method prevention crime addition accompanied joint support individual criminal investigation exchange personal data;14/12/2016;;;
Deirdre Clune;EPP;IE;supported report agreement operational strategic cooperation georgia europol;14/12/2016;;;
Carlos Coelho;EPP;PT;writing context mandate europol conclude agreement country organisation order establish way cooperation especially fight organised crime terrorism context parliament regard agreement reached agree signature europol feel show compliance legal requirement guarantee safeguard european citizen agreement georgia particular importance context fight terrorism increasingly transit country socalled foreign fighter;14/12/2016;;;
Jane Collins and Mike Hookem;EFDD;UK;ukip meps voted legislative report ukip support europol institution support eu concluding agreement country;14/12/2016;;;
Lara Comi;EPP;IT;writing voted favour agreement provides important aspect operational cooperation georgia eu exchange information include expertise general account result strategic analysis information criminal investigation procedure data method crime prevention support individual criminal investigation;14/12/2016;;;
Javier Couso Permuy;GUE/NGL;ES;writing voted agreement georgia european agency operational strategic cooperation oppose advocate expansion operational area europol position contrary existence agency act transparency guarantee necessary institution concern expressed lack political judicial responsibility europol subject addition lack clarity issue sensitive data exchange including personal data european citizen country impossible approve protection personal information right citizen underway hand geopolitical point view agreement georgia based union strategy strengthen relation russia opposed consider neighbor strategic necessary partner;14/12/2016;;;
Andrea Cozzolino;PES;IT;writing voted favour resolution believe operational strategic cooperation georgia europol essential prevent crossborder crime support individual criminal investigation fact georgia increasingly important fight terrorism organised crime specifically transit country socalled foreign combatant fundamental partner combating organized georgian criminal group term cooperation provide exchange information include expertise general account result strategic analysis information criminal investigation procedure;14/12/2016;;;
Andi Cristea;PES;RO;writing clear operational need europol deepen operational cooperation georgia according europol georgia relevant fight terrorism organised crime transit country foreign combatant essential partner combating organized crime group georgia voted exchange operational strategic technical information europol georgia effective fight organised crime definition international character;14/12/2016;;;
Pal Csaky;EPP;SK;writing ep proposal council decision europol consultation ep council approve commitment international cooperation agreement country international organisation europol clear operational need improve operational cooperation georgia according europol georgia increasingly involved fight terrorism organised crime precisely new transit country foreign combatant essential partner fight gross crime end commitment strategic cooperation agreement georgia help strengthens fight terrorism organised crime agreement operational strategic cooperation europol georgia supported vote information exchange information include expertise general report result strategic analysis information criminal investigation procedure method crime prevention support specific criminal investigation;14/12/2016;;;
Edward Czesak;ECR;PL;writing order ensure effective mean exchange information including personal data voted favour adoption report operational strategic cooperation agreement europol georgia development operationalstrategic cooperation serf raise security level impact greater effectiveness countering terrorism georgia key eu partner eastern partnership security crime fight foundation imperative provide implementation objective cooperation fully support operational cooperation georgia support adoption report;14/12/2016;;;
Miriam Dalli;PES;MT;favour report clear operational need europol deepen operational cooperation georgia according europol georgia increasingly relevant fight terrorism organised crime specifically transit country foreign fighter vital partner fight georgian organised criminal group conclusion strategic operational cooperation agreement georgia aid reinforce fight terrorism organised crime;14/12/2016;;;
Daniel Dalton;ECR;UK;welcome adoption agreement operational strategic cooperation georgia europol long supportive europol work fight crime terrorism go border eu international cooperation essential;14/12/2016;;;
Michel Dantin;EPP;FR;writing consultation report proposes european parliament positive opinion operational strategic agreement europol georgia providing exchange information including personal data information relate specialized knowledge general situation report strategic analysis result given report aimed improving effectiveness prevention terrorist attack public security voted favour;14/12/2016;;;
William Dartmouth;;UK;william dartmouth efdd ukip meps voted legislative report ukip support europol institution support eu concluding agreement country;14/12/2016;;;
Rachida Dati;EPP;FR;writing voted favour agreement operational strategic cooperation georgia europol european police office europol play key role fight terrorism european level strengthen action improving cooperation country better exchange information georgia important partner fight organised crime country transit foreign combatant joined terrorist organization essential complement european security arsenal;14/12/2016;;;
Gerard Deprez;ALDE;BE;writing voted favour parliament approval conclusion european police office europol agreement operational strategic cooperation georgia europol agreement aim support strengthen action competent authority member state mutual cooperation prevention organised crime terrorism form crime provides exchange operational strategic technical information including personal data classified information order prove effective preventing combating form crime particular taking account fact georgia neighbouring state union georgia link lot trade appropriate police agency conclude agreement operational strategic cooperation georgia;14/12/2016;;;
Mireille DOrnano;ENF;FR;writing voted text order improve effectiveness preventing combating form crime europol initiated conclusion agreement operational strategic cooperation georgia information related exchange inter alia following expertise overall account strategic analysis result information criminal investigation procedure information crime prevention method participation training activity provision advice support special criminal survey opposed exchange personal information included agreement;14/12/2016;;;
Angel Dzhambazki;ECR;BG;written form report operational strategic agreement europe georgia ensure better exchange information including personal data operational need europe deepen operational cooperation georgia key partner european union eastern partnership agreement help combat crime main task achieving objective partnership believe georgia good union fight security voted support report;14/12/2016;;;
Georgios Epitedeios;NI;EL;writing act demonstrates commitment information exchange sector subject personal national security assurance recent example terrorist attack bombing paris brussels secret service member state notified agreement actually strengthen riskbased approach ensure obligation design select data protection taking account international practice particular degree protection personal data authority georgia;14/12/2016;;;
Jill Evans;Greens/EFA;UK;voted favour agreement georgia europol europol assist eu member state combating organised crime european union organised crime stop national border essential cooperation non eu country international organisation better cooperation positive impact political social economic integration georgia agreement interest constituent wale;14/12/2016;;;
Jose Manuel Fernandes;EPP;PT;writing report concern adoption proposed operational strategic cooperation agreement europol georgia provides exchange information including personal data information include expertise general situation report result strategic analysis information criminal investigation process method preventing crime support certain criminal investigation clear need europol deepen cooperation georgia play increasingly important role fight organised crime especially transit country socalled foreign combatant key partner combating organised criminality group;14/12/2016;;;
Joao Ferreira;GUE/NGL;PT;writing europol agency european union based federalist vision europe integration process main objective coercive compliance law structure member state imposes supersedes sovereignty autonomy security force contrary natural desirable cooperation state police judicial authority report proposes adoption strategic cooperation agreement europol georgia provides exchange information including personal data information include expertise general situation report result strategic analysis information criminal investigation process method preventing crime support certain criminal investigation addition general objection role europol case geopolitical framework georgia near russian federation context destabilization war promoted united state eu middle east emphasis current situation syria voted;14/12/2016;;;
Raffaele Fitto;ECR;IT;writing voted favour resolution agreement operational strategic cooperation georgia europol help strengthens fight terrorism organised crime fact georgia increasingly important contrast phenomenon specifically transit country foreign combatant essential partner fight organized georgian criminal group;14/12/2016;;;
Luke Ming Flanagan;GUE/NGL;IE;voted disagree;14/12/2016;;;
Monika Flasikova Benova;PES;SK;writing future georgia play important role fight terrorism organised criminal activity transit country tatasto issue significant number organised crime group date necessary europol forward complete strategic cooperation georgia aim providing small assistance new agreement;14/12/2016;;;
Lorenzo Fontana;ENF;IT;writing voting favour report believe useful exchange operational strategic technical information country;14/12/2016;;;
Lampros Phountoules;NI;EL;writing act demonstrates commitment information exchange sector subject personal national security assurance recent example terrorist attack bombing paris brussels secret service member state notified agreement actually strengthen riskbased approach ensure obligation design select data protection taking account international practice particular degree protection personal data authority georgia reason vote favour business strategic cooperation agreement georgia europe;14/12/2016;;;
Mariia Gabriel;EPP;BG;written form voted support adoption report georgia potential key eu partner fight organised crime including trafficking person terrorism corruption context conclusion agreement operational strategic cooperation georgia europe decisive step contribute effective fight international organised crime enhanced cooperation area security european union member state georgia strategic related mobility european georgian citizen finalising process liberalisation visa visa regime citizen georgia support conclusion strategic operational cooperation agreement georgia;14/12/2016;;;
Kinga Gal;EPP;HU;writing order respond international organised crime extremely important thirdcountry partner obtain information criminal organisation according european police office europol georgia increasingly involved fight terrorism organised crime precisely unhindered transit country foreign combatant essential partner fight gross crime agreement operational strategic cooperation europol ukraine help strengthen fight terrorism organised crime essentially international europol clearly need cooperate georgia supported initiative vote member fides group;14/12/2016;;;
Elena Gentile;PES;IT;writing voted favour ep resolution draft council implementing decision approving conclusion european police office europol agreement operational strategic cooperation georgia europol view accelerating cooperation judicial police matter country fundamental role combating organised crime outside eu parliament said vote expressed desire forward laid certain condition council commission regard procedure adopted signing agreement limit parliament scrutiny simple consultation ask european commission reevaluate provision agreement new legislation europol enters force submit institution complete assessment allowing parliament exercise new power 1 2017 despite procedural issue fact cooperation georgian police authority including regard issue exchange personal data relevant information remains essential ensure effective fight organised crime outside eu;14/12/2016;;;
Jens Gieseke;EPP;DE;writing georgia play decisive role fight terrorism organised crime transit country foreign combatant agreement intensify strategic cooperation georgia europol;14/12/2016;;;
Nathan Gill;EFDD;UK;voted legislative report support europol institution support eu concluding agreement country;14/12/2016;;;
Neena Gill;PES;UK;supported proposal concern approval operational strategic agreement europol georgia providing exchange information including personal data georgia increasingly relevant fight terrorism organised crime specifically transit country socalled foreign fighter vital partner fight georgian organised criminal group;14/12/2016;;;
Tania Gonzalez Penas;GUE/NGL;ES;writing proposal refers adoption agreement georgia europol operational strategic cooperation result november meeting proposal similar agreement ukraine include chapter exchange personal data georgia addition geopolitical game union eeas uu russia cease country meet standard required union human right legislation criterion group take account adopts cooperation agreement hand european parliament voted favour new regulation europol enter force year cooperation agreement established transparent procedure current ground preconsenting agreement country sufficient democratic legal guarantee voted;14/12/2016;;;
Nathalie Griesbeck;ALDE;FR;writing europolgeorgia cooperation agreement provides exchange operational strategic technical personal classified information european police office georgia agreement particular importance growing role georgia fight terrorism organised crime 2015 parliamentary group decided wait entry force new europol regulation scheduled 2017 conclusion new cooperation agreement decided abstain vote previous operational strategic cooperation agreement europol china united arab emirate bosnia herzegovina ukraine;14/12/2016;;;
Theresa Griffin;PES;UK;today voted favour report clear operational need europol deepen cooperation georgia strategic cooperation agreement georgia aid reinforce fight organised crime contribute enhancing international law enforcement cooperation;14/12/2016;;;
Takes Khatzegeorgiou;GUE/NGL;;writing issue exchange personal data raised particular report critical approach europol agreement fully support fight organised crime trafficking person time want cooperation police authority national level agreement policy focus creating pressure russia increasing union policy georgia reason voted favour report;14/12/2016;;;
Marian Harkin;ALDE;IE;proposal concern proposed approval operational strategic agreement europol georgia providing exchange information including personal data information field specialist knowledge general situation report result strategic analysis information criminal investigation procedure information crimeprevention method support individual criminal investigation support conclusion strategic operational cooperation agreement georgia aid reinforce fight terrorism organized crime international definition;14/12/2016;;;
Brice Hortefeux;EPP;FR;writing pleased european parliament allowed conclusion technical strategic operational cooperation agreement georgia europol important cooperation georgia door turkey armenia near region ebulsion including iran syria iraq leading strategic corridor criminal terrorist network cooperation essential capacity criminal network trafficker terrorist foreign combatant return syria go european border fight flood common fight fought collectively exchange information provision material human operational support;14/12/2016;;;
Catalin Sorin Ivan;PES;RO;writing voted favour agreement operational strategic cooperation georgia europol proposal approval operational strategic agreement report provides information exchange including personal data exchange conclusion strategic operational cooperation agreement georgia support intensify fight terrorism organised crime;14/12/2016;;;
Ivan Jakovcic;ALDE;HR;pressed voted favour council draft implementing decision europol approving conclusion operational strategic cooperation agreement georgia europol 103432016 c802662016 20160810 cns view enabling exchange information including exchange personal data including expertise report general status result strategic analysis information criminal proceeding data method prevention support individual criminal investigation operational need europol operational cooperation georgia important fight terrorism organised crime especially transit country pane;14/12/2016;;;
JeanFrancois Jalkh;ENF;FR;writing agreement europol georgia provides exchange information various area competence includes provision exchange personal data object exchange type data come french citizen make exception country voted;14/12/2016;;;
Marc Joulaud;EPP;FR;writing voted favour colleague claude moraes report cooperation georgia europol order strengthen security european area europol task combating crime facilitating cooperation various police service support initiative aimed strengthening security operation agreement provides strategic exchange information analysis georgian police service better combat terrorism organised crime report adopted large majority welcome;14/12/2016;;;
Eua Kaile;PES;EL;writing voted favour report according europol georgia increasingly important fight terrorism organised crime especially country socalled foreign fighter important partner combating organised criminal group georgia respect conclusion strategic operational cooperation agreement georgia help strengthen fight terrorism organised crime defined internationally;14/12/2016;;;
Barbara Kappel;ENF;AT;writing included present report report includes strategic operational cooperation enhanced exchange information europol georgia hand agreement desirable agreement exclude exchange personal data believe;14/12/2016;;;
Afzal Khan;PES;UK;voted favour report clear operational need europol deepen cooperation georgia strategic cooperation agreement georgia aid reinforce fight organised crime contribute enhancing international law enforcement cooperation;14/12/2016;;;
Stelios Kouloglou;GUE/NGL;EL;voted report operational strategic cooperation agreement europol georgia disturbing fact council europol trying push undemocratic agreement taking consideration new transparent europol regulation going enter force year;14/12/2016;;;
Bela Kovacs;NI;HU;writing cooperation support strengthening effectiveness action organised crime europol georgia contribute improving security eu citizen reservation substance nt share doubt concern personal data actually handled especially country evidence stateoftheart statistic greater problem possible possible removal device carrying wide range data investigation majority combated terrorist enter union small number poor refugee bed vein tank palmur taken away powerful help terrorist divergence waiting leave going europe;14/12/2016;;;
Andrei Kovachev;EPP;;written form voted favour report approving conclusion european police service europol agreement operational strategic cooperation georgia europe proposal concern approval operational strategic agreement europe georgia providing information exchange information field specialized knowledge overall environmental report resulting strategic analysis information criminal investigation procedure data method crime prevention support specific criminal investigation believe clear operational need deepen operational cooperation country according european georgia increasingly important fight terrorism organised crime particular transit country narrator tribe manasseh foreign combatant main partner fight organized georgian criminal group point view conclusion strategic operational agreement cooperation georgia help strengthen fight terrorism organised crime internationally defined;14/12/2016;;;
Ilkhan Kiuchiuk;ALDE;;supported operational cooperation agreement georgia europol clear operational need europol deepen cooperation georgia according europol georgian organised crime oc active eu steadily growing scale time currently eu member state facing issue criminality caused georgian oc nature international interlinked cluster country addition georgia continues transit country foreign terrorist fighter looking perspective conclusion operational cooperation agreement georgia europol definitely facilitate reinforce international fight terrorism oc;14/12/2016;;;
Giovanni La Via;EPP;IT;writing abovementioned agreement operational strategic cooperation georgia europol focus personal data exchange information includes expertise general account result strategic analysis information criminal investigation procedure form crime prevention support individual criminal investigation according europol georgia important role play fight terrorism organised crime transit country socalled foreign combatant serf key partner combating organized georgian criminal group view reason expressed report believe conclusion strategic operational cooperation agreement georgia essential help strengthen fight terrorism organised crime vote favour;14/12/2016;;;
Marine Le Pen;ENF;FR;writing voted report agreement operational strategic cooperation georgia europol agreement contains provision relating exchange personal data french citizen consider unacceptable addition better international cooperation police service cooperation intergovernmental nature;14/12/2016;;;
Paloma Lopez Bermejo;GUE/NGL;ES;writing voted agreement believe provide sufficient protection data exchange europol georgia used geopolitical strategy europe russia central asia repeatedly opposed greed lack effective legal guarantee;14/12/2016;;;
Antonio LopezIsturiz White;EPP;ES;writing text consulted european parliament conclusion operational strategic cooperation agreement europol georgia provides exchange information entity including personal data thing information question based result strategic analysis method crime prevention vote favour fact agreement contribute fight terrorism organised crime international level union important player georgia played greater role transit country foreign combatant;14/12/2016;;;
Petr Mach;EFDD;CZ;writing stuck agreement allows exchange information including personal data europol georgian police information include expertise general situation report result strategic analysis information investigation procedure case criminal act;14/12/2016;;;
Ivana Maletic;EPP;HR;pressed accordance article 23 paragraph 2 applicable council decision europol council approves conclusion agreement international cooperation country international organisation following consultation european parliament agreement include exchange operational strategic technical confidential information sharing personal data proposal concern proposed approval conclusion operational strategic agreement europol georgia allow exchange information information include expertise general status report strategic analysis result information criminal proceeding data method crime prevention support individual criminal investigation europol joint supervisory body delivered positive opinion conclusion cooperation agreement taking account level data protection georgia clear operational need production europol cooperation georgia supported report;14/12/2016;;;
Andrejs Mamikins;PES;LV;proposal concern proposed approval operational strategic agreement europol georgia providing exchange information including personal data information field specialist knowledge general situation report result strategic analysis information criminal investigation procedure information crimeprevention method support individual criminal investigation voted proposal;14/12/2016;;;
Vladimir Manka;PES;SK;writing supporting approval agreement cooperating exchange operational strategic professional information returned personal data exchange agreement strong aged expand fight terrorism organised crime;14/12/2016;;;
Notes Marias;ECR;EL;writing support report council draft implementing decision approving conclusion european police service europol business strategic cooperation agreement agriculture europol sufficiently documented;14/12/2016;;;
Dominique Martin;ENF;FR;writing voted text report aim european parliament agreement operational strategic cooperation europol georgia fact exchange personal data european citizen report directly affect safety data french citizen oppose;14/12/2016;;;
Fulvio Martusciello;EPP;IT;voted favour agreement operational strategic cooperation georgia europol georgia fundamental partner europol term tackling terrorism organised crime reason crucial support agreement order enhance operational cooperation term exchange personal data information crimeprevention method result strategic analysis information criminal investigation procedure implementing measure europol able assist georgia fight organised criminal group foreign fighter use georgia transit country;14/12/2016;;;
Jiri Mastalka;GUE/NGL;CZ;writing today voted report proposing strengthen cooperation georgia european police office europol cooperation agreement relate exchange operational strategic technical confidential information believe fundamental need strengthen operational cooperation europol georgia according europol georgia growing fight terrorism organised criminal activity especially time georgia transit country far foreign combatant key partner fight georgian organized criminal group point view conclusion agreement strategic operational cooperation georgia help combat terrorism organised criminal activity foundation international network supported message;14/12/2016;;;
Kostas Maurides;PES;EL;writing voted favour council draft implementing decision approving conclusion europol service strategic cooperation agreement georgia europol true business need europe order foster business cooperation georgia according europol georgia increasingly important fight terrorism organised crime especially country socalled foreign fighter important partner combating organized criminal group georgia respect conclusion strategic operational cooperation agreement georgia help strengthen fight terrorism organised crime defined internationally;14/12/2016;;;
Georg Mayer;ENF;AT;writing proposal includes strategic operational cooperation enhanced exchange information europol georgia hand agreement desirable agreement exclude exchange personal data concern europol voted favour;14/12/2016;;;
Mairead McGuinness;EPP;IE;voted favour report exchange information europol georgia;14/12/2016;;;
JeanLuc Melenchon;GUE/NGL;FR;writing parliament approval cooperation agreement georgia europol european police office ensured country agreement concluded eu provide guarantee respect rule law commitment combating terrorism organised crime especially come exchange personal data citizen opposed previous similar agreement including united arab emirate ukraine cooperation result geopolitical choice disagree council shall enter force agreement country end 2016 order membership europol 2017 new regulation dangerous security personal data europol shall automatically collect personal data europe refuse communicate citizen concerned claim result use brussels analysis disclosure generated nsa german authority european government institution voted;14/12/2016;;;
Joelle Melin;ENF;FR;writing cooperation agreement georgia europol provides exchange information including expertise general account strategic analysis result information criminal investigation procedure information method crime prevention participation training activity provision advice support special criminal investigation addition agreement provides provision personal data exchange completely opposed exchange type data logic previous vote subject voted agreement;14/12/2016;;;
Louis Michel;ALDE;BE;writing parliament consulted conclusion strategic cooperation agreement georgia europol new international agreement strengthened cooperation europol country essential tool europol work point conclusion agreement entry force new europol regulation 2017 new regulation provides enhanced guarantee including data protection addition entry force new regulation european parliament benefit advantage conclusion international agreement parliament role matter fully defended important conclusion new agreement subject new rule force soon possible;14/12/2016;;;
Marlene Mizzi;PES;MT;voted favour report consulted consent operational strategic cooperation agreement europol georgia agreement involves exchange personal data;14/12/2016;;;
Csaba Molnar;PES;HU;writing council adopted draft implementing decision approving commitment europol operational strategic cooperation agency georgia european police office europol adopting decision parliament consulted report committee civil law belgium justice parliament recommends parliament approve council plan voted accordance;14/12/2016;;;
Bernard Monot;ENF;FR;writing order improve effectiveness preventing combating form crime europol initiated conclusion agreement operational strategic cooperation georgia term cooperation governed operational strategic agreement provide exchange information include expertise general account strategic analysis result information criminal investigation procedure information method crime prevention participation training activity provision advice support special criminal investigation addition agreement contains provision relating exchange personal data accept exchange personal data french citizen opposed operational agreement europol want conclude country abstention;14/12/2016;;;
Sophie Montel;ENF;FR;writing order improve effectiveness preventing combating form crime europol initiated conclusion agreement operational strategic cooperation georgia term cooperation governed operational strategic agreement provide exchange information include expertise general account strategic analysis result information criminal investigation procedure information method crime prevention participation training activity provision advice support special criminal investigation addition agreement contains provision relating exchange personal data accept exchange personal data french citizen opposed operational agreement europol want conclude country vote report;14/12/2016;;;
